"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.227608917E0,8.750802612E-1,-2.248025208E0,2.144440613E0
3.237535917E0,9.030720520E-1,-1.626367950E0,1.596430206E0
3.247463917E0,7.460485840E-1,-6.863227844E-1,1.121168518E0
3.257391917E0,6.186634827E-1,8.529263306E-1,1.470841370E0
3.267319917E0,6.735992432E-1,3.610491943E0,2.078128510E0
3.277247917E0,3.278182983E0,4.887037354E0,6.788383484E-1
3.287174917E0,3.826941833E0,5.845194855E0,-3.721261597E-1
3.297102917E0,3.790866852E0,6.920109558E0,-5.822891235E-1
3.307030917E0,3.744463348E0,7.964188385E0,-5.269042969E-1
3.316958917E0,3.220702515E0,8.650211792E0,2.784210205E-2
3.326886917E0,3.262166290E0,8.937913513E0,8.193960571E-1
3.336814917E0,3.740122375E0,7.998616791E0,1.291364594E0
3.346741917E0,4.058510284E0,5.882467346E0,1.435365143E0
3.356669917E0,3.870950317E0,3.596421204E0,1.584904175E0
3.366597917E0,3.408412170E0,4.752616882E-1,5.331912231E0
3.376525917E0,1.700014801E0,-3.407064972E0,5.719755707E0
3.386453917E0,-4.017645264E-1,-4.656217346E0,-3.287164307E-1
3.396381917E0,-4.984634399E-1,-4.769082642E0,7.327262878E-1
3.406308917E0,-2.225422211E0,-3.774101715E0,5.694158936E-1
3.416236917E0,-3.742667084E0,-1.156195679E0,-9.280700684E-2
3.426164917E0,-2.184856567E0,-4.808001709E-1,-1.884730682E0
3.436092917E0,-1.781894531E0,-1.269510040E0,-1.577868805E0
3.446020917E0,-2.563419342E0,-3.564687195E0,3.972738647E-1
3.455948917E0,-3.437900848E0,-8.005951538E0,2.366279297E0
3.465875917E0,-2.225571899E0,-9.771829376E0,3.786525879E0
3.475803917E0,-4.876858521E-1,-8.687783661E0,2.869981842E0
3.485731917E0,3.637435913E-2,-8.168513489E0,1.634301453E0
3.495659917E0,1.566941528E0,-8.225993958E0,1.713337097E0
3.505587917E0,2.630629578E0,-1.217747681E1,1.514251099E0
3.515515917E0,3.349883881E0,-2.150263504E1,1.236728210E0
3.525442917E0,4.579127655E0,-3.653437637E1,1.288819885E0
3.535370917E0,7.010371857E0,-5.471721497E1,1.604064331E0
3.545298917E0,9.582772522E0,-6.144452545E1,1.882784729E0
3.555226917E0,9.103020172E0,-4.255306046E1,5.106331329E0
3.565154917E0,4.064048767E0,-2.370605301E1,1.262938705E1
3.575081917E0,5.877677307E0,-1.944351700E1,1.278236893E1
3.585009917E0,6.467301178E0,-2.417098618E1,6.979086914E0
3.594937917E0,5.060825958E0,-2.803460175E1,3.906725922E0
3.604865917E0,5.363047485E0,-2.435225922E1,3.064427490E0
3.614793917E0,3.528312836E0,-1.969918533E1,-2.833607483E-1
3.624721917E0,1.553918610E0,-1.781969376E1,-1.833537140E0
3.634648917E0,1.008602600E0,-1.625829071E1,-1.280287628E0
3.644576917E0,1.208137665E0,-1.449495758E1,-4.324507141E-1
3.654504917E0,1.840722198E0,-1.222133560E1,2.389181671E0
3.664432917E0,1.941013641E0,-1.023496628E1,4.222269745E0
3.674360917E0,2.227966919E0,-7.923323364E0,3.338058472E-1
3.684288917E0,2.517015839E0,-4.700674896E0,-3.620072021E0
3.694215917E0,1.410666504E0,-1.249152374E0,-1.995650024E0
3.704143917E0,5.007087708E-1,1.357077942E0,1.947450256E-1
3.714071917E0,-2.206411743E-1,3.287763062E0,-2.634521484E-2
3.723999917E0,-4.793032837E-1,3.973038025E0,-8.063731384E-1
3.733927917E0,-4.508624268E-1,3.715573425E0,-7.402107239E-1
3.743855917E0,-5.508544922E-2,3.630101166E0,9.580078125E-3
3.753782917E0,3.547622681E-2,3.861968994E0,7.988887024E-1
3.763710917E0,-5.089416504E-2,4.468058624E0,1.147064667E0
3.773638917E0,-1.541793823E-2,5.089865570E0,1.445244598E0
3.783566917E0,1.766326904E-1,5.533692627E0,2.289788361E0
3.793494917E0,6.345304871E-1,5.386548615E0,4.540208588E0
3.803421917E0,8.273295593E-1,3.021167450E0,4.803810425E0
3.813349917E0,1.089733887E0,8.297245789E-1,2.226769409E0
3.823277917E0,1.118474121E0,-6.499484253E-1,3.930825806E-1
3.833205917E0,4.393363953E-1,-1.814227295E0,6.286926270E-2
3.843133917E0,-6.337820435E-1,-2.409239960E0,-8.247848511E-2
3.853061917E0,-1.631607056E0,-2.817141724E0,-7.482939148E-1
3.862988917E0,-2.178270264E0,-3.028053131E0,-2.207609253E0
3.872916917E0,-1.965861969E0,-3.294948120E0,-2.697540436E0
3.882844917E0,-1.427132263E0,-3.775598602E0,-1.562450867E0
3.892772917E0,-9.211843872E-1,-4.321363678E0,-6.825805664E-1
3.902700917E0,-2.130070496E-1,-4.740043030E0,-2.171983337E-1
3.912628917E0,6.170169067E-1,-4.494553528E0,1.046623535E0
3.922555917E0,1.100960541E0,-4.160747681E0,2.134411469E0
3.932483917E0,1.555265808E0,-4.734654236E0,1.841470642E0
3.942411917E0,2.070943451E0,-6.264023895E0,9.933343506E-1
3.952339917E0,3.107088776E0,-9.007818146E0,1.233435059E0
3.962267917E0,3.632196808E0,-1.256756561E1,2.602787476E0
3.972195917E0,2.888094177E0,-1.663101562E1,4.824766846E0
3.982122917E0,9.436376953E-1,-2.069416626E1,5.546416168E0
3.992050917E0,-6.791377258E-1,-2.485656052E1,3.696862335E0
4.001978917E0,-1.927391968E0,-3.005360321E1,2.899320831E0
4.011906917E0,-4.014950867E0,-3.435490860E1,5.327720947E0
4.021834917E0,-5.071603546E0,-3.268393341E1,8.531059570E0
4.031761917E0,-3.002156982E0,-3.044473984E1,9.606573029E0
4.041689917E0,-4.990621948E-1,-3.101101227E1,7.735014954E0
