"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.065912348E2,7.065157928E0,-3.412603455E0,2.179018707E0
1.066011598E2,7.719597015E0,-4.033063202E0,2.486778717E0
1.066110848E2,8.273594971E0,-4.591402130E0,2.661615143E0
1.066210098E2,8.964857483E0,-5.238057404E0,2.792892151E0
1.066309348E2,9.899813232E0,-5.992338867E0,2.835104370E0
1.066408598E2,1.099643280E1,-6.741680603E0,2.916235657E0
1.066507848E2,1.204036194E1,-7.325466614E0,2.969524841E0
1.066607098E2,1.269480103E1,-7.548353119E0,3.015030212E0
1.066706348E2,1.282592834E1,-7.421566772E0,3.119512939E0
1.066805598E2,1.276620255E1,-7.047045593E0,3.286116486E0
1.066904848E2,1.314281937E1,-6.769822083E0,3.262765045E0
1.067004098E2,1.375818970E1,-6.981182556E0,2.818488922E0
1.067103348E2,1.414094376E1,-7.356302490E0,2.470762024E0
1.067202598E2,1.401116364E1,-7.272476807E0,2.402354279E0
1.067301848E2,1.362586487E1,-6.723568268E0,2.295925598E0
1.067401098E2,1.348410965E1,-6.437363434E0,2.116149445E0
1.067500348E2,1.333711533E1,-6.398294678E0,2.085762634E0
1.067599598E2,1.304671921E1,-5.926625519E0,1.895508270E0
1.067698848E2,1.274734177E1,-5.073848877E0,1.618284760E0
1.067798098E2,1.252191055E1,-4.378993835E0,1.429078217E0
1.067897348E2,1.258597733E1,-4.106111298E0,1.189725952E0
1.067996598E2,1.307066940E1,-3.957470398E0,7.081773376E-1
1.068095848E2,1.355685837E1,-3.712429962E0,2.131567383E-1
1.068195098E2,1.347812210E1,-3.362308044E0,1.456471252E-1
1.068294358E2,1.315584229E1,-2.945125580E0,3.258723450E-1
1.068393608E2,1.248957779E1,-2.525248718E0,5.769003296E-1
1.068492858E2,1.179412399E1,-2.199226685E0,8.560697937E-1
1.068592108E2,1.105930206E1,-2.017504578E0,1.051862640E0
1.068691358E2,1.023840912E1,-1.970202942E0,1.116079102E0
1.068790608E2,9.499994659E0,-1.897454224E0,1.214574280E0
1.068889858E2,8.831933899E0,-1.765279083E0,1.163231049E0
1.068989108E2,8.098758545E0,-1.588047638E0,1.004261627E0
1.069088358E2,7.372768250E0,-1.338815918E0,9.728269958E-1
1.069187608E2,6.683302002E0,-1.045875092E0,9.702822876E-1
1.069286858E2,6.021378479E0,-7.837701416E-1,8.509803772E-1
1.069386108E2,5.397026825E0,-6.294410706E-1,6.674620056E-1
1.069485358E2,4.921166382E0,-5.581892395E-1,5.080435181E-1
1.069584608E2,4.578379211E0,-5.059478760E-1,3.833528137E-1
1.069683858E2,4.264781342E0,-4.457730103E-1,3.156935120E-1
1.069783108E2,3.927382965E0,-3.607498169E-1,2.932402039E-1
1.069882358E2,3.645968170E0,-3.170407104E-1,3.279679871E-1
1.069981608E2,3.450774078E0,-3.270698547E-1,3.326083374E-1
1.070080858E2,3.367098083E0,-4.093986511E-1,3.101550293E-1
1.070180108E2,3.331771545E0,-5.384303284E-1,3.391946411E-1
1.070279358E2,3.358715515E0,-6.737489319E-1,3.936813354E-1
1.070378608E2,3.488795013E0,-8.722361755E-1,4.812492371E-1
