"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.677625583E0,-1.177601166E0,3.742218018E-2,3.528163147E0
1.687654583E0,-1.414259033E0,-1.562750244E-1,4.020639038E0
1.697684583E0,-1.438807983E0,-3.472778320E-1,3.805087280E0
1.707713583E0,-1.351240082E0,-3.764671326E-1,2.873274994E0
1.717742583E0,-1.240470428E0,-2.504292297E-1,1.522633667E0
1.727772583E0,-9.370513916E-1,-1.194515991E-1,2.448907471E-1
1.737801583E0,-5.445675659E-1,-5.029541016E-2,-6.384223938E-1
1.747830583E0,-6.900650024E-2,-6.661148071E-2,-1.217867432E0
1.757860583E0,4.944218445E-1,-2.168989563E-1,-1.921703796E0
1.767889583E0,8.411009216E-1,-4.731660461E-1,-2.407892761E0
1.777919583E0,9.318122864E-1,-7.321275330E-1,-1.869013367E0
1.787948583E0,3.436853027E-1,-1.118474121E0,-1.103205872E0
1.797977583E0,-3.832031250E-1,-1.467099152E0,3.592529297E-3
1.808007583E0,-8.328680420E-1,-1.654659119E0,1.682950287E0
1.818036583E0,-1.326092377E0,-1.873953094E0,2.952610016E0
1.828065583E0,-2.672542419E0,-4.251009979E0,7.986192627E0
1.838095583E0,-5.541775818E0,-1.295720535E1,1.076621155E1
1.848124583E0,-7.093598785E0,-2.606290192E1,1.078866486E1
1.858154583E0,-6.682104492E0,-3.373340103E1,7.951015778E0
1.868183583E0,-6.524482269E0,-3.699796234E1,5.202132111E0
1.878212583E0,-5.652096405E0,-3.638543610E1,5.010829926E0
1.888242583E0,-3.031046906E0,-2.892974030E1,-9.569599915E-1
1.898271583E0,-2.523302765E0,-2.149904251E1,-1.094523926E0
1.908300583E0,-3.610941010E0,-1.769784714E1,2.619253235E0
1.918329958E0,-4.628824310E0,-1.606025253E1,2.692600708E0
1.928358958E0,-5.653293915E0,-1.755758881E1,4.306544495E-1
1.938388958E0,-6.452781372E0,-2.079116455E1,-3.823049927E-1
1.948417958E0,-8.087232513E0,-2.332479584E1,2.723286896E0
1.958446958E0,-9.081914063E0,-2.418311096E1,4.136498108E0
1.968476958E0,-8.568032684E0,-2.318244186E1,2.381547546E0
1.978505958E0,-6.961872711E0,-2.098246674E1,2.183060303E0
1.988534958E0,-5.392536163E0,-1.880973495E1,3.154839478E0
1.998564958E0,-4.509672089E0,-1.720626938E1,3.727398834E0
2.008593958E0,-3.680845642E0,-1.603226074E1,3.942651215E0
2.018623958E0,-2.465971985E0,-1.525043655E1,3.890260162E0
2.028652958E0,-1.358574829E0,-1.402508469E1,3.567531281E0
2.038681958E0,-5.349874878E-1,-1.216280731E1,3.134781189E0
2.048711958E0,5.313949585E-2,-9.867031403E0,2.919079742E0
2.058740958E0,1.209484863E-1,-7.439828796E0,2.887944489E0
2.068769958E0,-8.427474976E-2,-5.123395844E0,2.689606934E0
2.078799958E0,-4.953199768E-1,-2.934347992E0,2.101030884E0
2.088828958E0,-1.042731628E0,-1.054706726E0,1.383423157E0
2.098857958E0,-1.366807709E0,2.543211365E-1,6.234535217E-1
2.108887958E0,-1.458566895E0,9.430389404E-1,1.475930786E-1
2.118916958E0,-1.494791565E0,1.199455719E0,2.180964661E-1
2.128946958E0,-1.492097168E0,1.255738678E0,2.814147949E-1
2.138975958E0,-1.580114136E0,1.167272644E0,1.730401611E-1
2.149004958E0,-1.691482544E0,9.779164124E-1,-1.290316772E-1
2.159034958E0,-1.854942627E0,7.804769897E-1,-3.456312561E-1
2.169063958E0,-1.928290100E0,5.637277222E-1,-3.848497009E-1
2.179093958E0,-2.018552399E0,3.951782227E-1,-5.658233643E-2
2.189122958E0,-2.086960144E0,2.695893860E-1,1.315763855E-1
2.199151958E0,-1.653910675E0,8.322692871E-2,1.454974365E-1
2.209181958E0,-1.101708984E0,6.496490479E-2,2.613565063E-1
2.219210958E0,-6.215075684E-1,1.764830017E-1,6.697073364E-1
2.229239958E0,-4.186793518E-1,3.480262756E-1,1.319506073E0
2.239269958E0,-3.582051086E-1,5.923182678E-1,2.158661041E0
2.249298958E0,-1.278341675E-1,7.463479614E-1,2.796634369E0
2.259328958E0,2.621049500E-1,6.448590088E-1,2.892884216E0
2.269357958E0,5.975573730E-1,1.839674377E-1,2.564018097E0
2.279386958E0,3.225791931E-1,-7.738906860E-1,1.972597961E0
2.289416958E0,-5.867797852E-1,-1.796264648E0,1.393601990E0
2.299445958E0,-1.696871338E0,-2.676733704E0,1.038240967E0
2.309474958E0,-2.374512177E0,-3.525618439E0,1.125509491E0
2.319504958E0,-2.644700317E0,-4.137246552E0,7.216493225E-1
2.329533958E0,-3.032843170E0,-4.937482452E0,2.366578674E-1
2.339563958E0,-3.558100891E0,-7.106621704E0,1.060544586E0
2.349592958E0,-4.486769714E0,-1.384680542E1,5.726940765E0
2.359621958E0,-9.430838470E0,-2.274205765E1,1.198961746E1
2.369651958E0,-1.576072540E1,-2.994268387E1,1.142274628E1
2.379680958E0,-1.765907776E1,-3.374477737E1,5.263354797E0
2.389709958E0,-1.591445572E1,-3.210897903E1,6.337371368E0
2.399739958E0,-1.070199509E1,-2.376982040E1,7.528893585E0
2.409768958E0,-6.814579010E0,-1.732257751E1,3.474574585E0
2.419798958E0,-5.024900665E0,-1.512529678E1,2.418969727E0
2.429827958E0,-6.261628876E0,-1.556238785E1,2.321821747E0
2.439856958E0,-7.834557953E0,-1.741373795E1,1.789528656E0
2.449886958E0,-8.035589905E0,-2.008972321E1,3.593577118E0
2.459915958E0,-8.119265900E0,-2.241244308E1,4.394711151E0
2.469944958E0,-8.320447540E0,-2.332704117E1,2.636916504E0
2.479974958E0,-7.647297363E0,-2.154529633E1,3.201841736E0
2.490003958E0,-6.240223389E0,-1.817236038E1,4.932842102E0
2.500033958E0,-5.037175140E0,-1.560385162E1,4.863087158E0
2.510062958E0,-3.801345062E0,-1.358335327E1,3.897145844E0
2.520091958E0,-2.786305847E0,-1.169787415E1,2.889591064E0
2.530121958E0,-2.254461823E0,-9.781708832E0,2.255659332E0
2.540150958E0,-2.157613220E0,-7.779771881E0,1.986968079E0
2.550179958E0,-2.258054352E0,-5.841752014E0,1.735041962E0
2.560209958E0,-2.286195831E0,-4.078867950E0,1.189576263E0
2.570238958E0,-2.080224152E0,-2.515518951E0,3.489244080E-1
2.580268958E0,-1.791773987E0,-1.180744629E0,-5.254074097E-1
2.590297958E0,-1.343605957E0,-5.284011841E-2,-8.887019348E-1
2.600326958E0,-8.560697937E-1,6.801855469E-1,-7.080276489E-1
2.610356958E0,-5.472619629E-1,1.007854156E0,-2.341131592E-1
2.620385958E0,-5.333409119E-1,1.106049957E0,1.775308228E-1
2.630414958E0,-6.185137939E-1,1.111438751E0,2.926414490E-1
2.640444958E0,-7.306306458E-1,1.107546844E0,2.086660767E-1
2.650473958E0,-7.937992859E-1,9.241781616E-1,4.864883423E-2
2.660503958E0,-8.900491333E-1,7.276368713E-1,3.158432007E-2
2.670532958E0,-9.978250122E-1,6.732998657E-1,2.529739380E-1
